Pulse height	Charge integral
0.035030	63
0.027858	10
0.040092	4
0.073208	140
0.063189	71
0.069095	64
0.118874	171
0.100312	116
0.037561	55
0.032182	15
0.095355	93
0.054752	59
0.049478	68
0.074579	5
0.104847	198
0.053170	13
0.026803	34
0.026909	3
0.030389	32
0.037983	54
0.066458	104
0.037772	12
0.039459	29
0.041674	19
0.114761	167
0.064138	70
0.037877	5
0.058654	55
0.035873	6
0.093879	67
0.066458	76
0.027647	3
0.024378	11
0.044838	42
0.053275	8
0.052009	90
0.063927	6
0.091559	115
0.027331	5
0.083016	106
0.161693	225
0.084809	154
0.131635	174
0.099258	125
0.034291	23
0.056650	21
0.037139	37
0.112757	160
0.084809	97
0.043467	56
0.045682	5
0.067302	106
0.046103	58
0.036190	4
0.045049	44
0.044311	42
0.076583	106
0.026803	15
0.041568	33
0.034080	29
0.112124	164
0.074473	107
0.033870	4
0.106218	88
0.030178	20
0.093246	151
0.042096	11
0.027963	15
0.034186	6
0.113601	203
0.125202	195
0.046842	5
0.061607	91
0.060658	60
0.051588	77
0.093984	143
0.048213	54
0.034608	47
0.053591	66
0.036928	37
0.074263	151
0.171712	224
0.096937	182
0.028385	24
0.049056	9
0.032182	29
0.044205	38
0.027542	24
0.028702	16
0.066669	88
0.041252	18
0.048318	5
0.101051	119
0.032604	29
0.055068	56
0.064138	13
0.057705	61
0.026909	10
0.065298	87
0.026276	15
0.115921	121
0.066458	75
0.134905	230
0.031655	24
0.029862	17
0.028069	13
